Symptom,Disease,occurrence,Weightage
Low Back Pain,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.590421023
Low Back Pain,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.590421023
Low Back Pain,"Pulmonary Disease, Chronic Obstructive",2,3.180842046
Low Back Pain,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.590421023
Low Back Pain,"Hematoma, Subdural, Chronic",3,4.771263069
Low Back Pain,"Kidney Failure, Chronic",4,6.361684092
Facial Pain,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.972328592
Facial Pain,"Kidney Failure, Chronic",1,1.972328592
Headache,Erythema Chronicum Migrans,1,0.884564255
Headache,"Fatigue Syndrome, Chronic",9,7.961078292
Headache,"Leukemia, Lymphocytic, Chronic, B-Cell",3,2.653692764
Headache,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",6,5.307385528
Headache,"Pulmonary Disease, Chronic Obstructive",2,1.769128509
Headache,"Multiple Sclerosis, Chronic Progressive",3,2.653692764
Headache,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,0.884564255
Headache,"Brain Damage, Chronic",15,13.26846382
Headache,"Brain Injury, Chronic",1,0.884564255
Headache,"Hematoma, Subdural, Chronic",22,19.4604136
Headache,"Kidney Failure, Chronic",25,22.11410637
Headache,"Granulomatous Disease, Chronic",1,0.884564255
Neck Pain,"Pulmonary Disease, Chronic Obstructive",1,1.958792007
Neuralgia,"Pancreatitis, Chronic",3,4.614942318
Neuralgia,"Multiple Sclerosis, Chronic Progressive",2,3.076628212
Neuralgia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.538314106
Neuralgia,"Brain Damage, Chronic",1,1.538314106
Neuralgia,"Renal Insufficiency, Chronic",1,1.538314106
Neuralgia,"Kidney Failure, Chronic",1,1.538314106
Sciatica,"Kidney Failure, Chronic",1,2.169409298
"Pain, Intractable","Fatigue Syndrome, Chronic",1,1.992983371
"Pain, Intractable","Pancreatitis, Chronic",6,11.95790023
"Pain, Intractable","Kidney Failure, Chronic",3,5.978950114
"Pain, Referred","Fatigue Syndrome, Chronic",1,4.00354799
Paralysis,"Leukemia, Lymphocytic, Chronic, B-Cell",1,0.484471377
Paralysis,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,0.968942755
Paralysis,"Pulmonary Disease, Chronic Obstructive",1,0.484471377
Paralysis,"Multiple Sclerosis, Chronic Progressive",1,0.484471377
Paralysis,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,0.968942755
Paralysis,"Brain Damage, Chronic",18,8.720484795
Paralysis,"Hematoma, Subdural, Chronic",1,0.484471377
Paralysis,"Kidney Failure, Chronic",9,4.360242397
Facial Paralysis,Erythema Chronicum Migrans,2,2.714193823
Facial Paralysis,"Leukemia, Lymphocytic, Chronic, B-Cell",3,4.071290735
Facial Paralysis,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.357096912
Facial Paralysis,"Brain Damage, Chronic",6,8.14258147
Facial Paralysis,"Kidney Failure, Chronic",2,2.714193823
Gastroparesis,"Kidney Failure, Chronic",5,16.48748702
Hemiplegia,"Leukemia, Lymphocytic, Chronic, B-Cell",2,2.589264726
Hemiplegia,"Leukemia, Myelomonocytic, Chronic",1,1.294632363
Hemiplegia,"Multiple Sclerosis, Chronic Progressive",2,2.589264726
Hemiplegia,"Brain Damage, Chronic",117,151.4719865
Hemiplegia,"Brain Injury, Chronic",3,3.883897089
Hemiplegia,"Hematoma, Subdural, Chronic",1,1.294632363
Hemiplegia,"Kidney Failure, Chronic",7,9.06242654
Ophthalmoplegia,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.329847269
Ophthalmoplegia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,2.659694538
Ophthalmoplegia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",3,3.989541808
Ophthalmoplegia,"Brain Damage, Chronic",3,3.989541808
Ophthalmoplegia,"Kidney Failure, Chronic",1,1.329847269
Ophthalmoplegia,"Granulomatous Disease, Chronic",1,1.329847269
Paraplegia,"Leukemia, Lymphocytic, Chronic, B-Cell",3,3.832437851
Paraplegia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,2.554958567
Paraplegia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.277479284
Paraplegia,"Brain Damage, Chronic",4,5.109917135
Paraplegia,"Hematoma, Subdural, Chronic",1,1.277479284
Paraplegia,"Kidney Failure, Chronic",14,17.88470997
Paraplegia,"Granulomatous Disease, Chronic",1,1.277479284
Quadriplegia,"Leukemia, Lymphocytic, Chronic, B-Cell",2,2.738279339
Quadriplegia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.369139669
Quadriplegia,"Pulmonary Disease, Chronic Obstructive",1,1.369139669
Quadriplegia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",9,12.32225703
Quadriplegia,"Brain Damage, Chronic",13,17.7988157
Quadriplegia,"Kidney Failure, Chronic",4,5.476558678
Respiratory Paralysis,"Pulmonary Disease, Chronic Obstructive",1,2.489420258
Respiratory Paralysis,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,2.489420258
Respiratory Paralysis,"Kidney Failure, Chronic",1,2.489420258
Vocal Cord Paralysis,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.987779543
Vocal Cord Paralysis,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.987779543
Vocal Cord Paralysis,"Kidney Failure, Chronic",1,1.987779543
Paresis,"Leukemia, Lymphocytic, Chronic, B-Cell",2,2.575471568
Paresis,"Leukemia, Myelomonocytic, Chronic",1,1.287735784
Paresis,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",4,5.150943135
Paresis,"Brain Damage, Chronic",10,12.87735784
Paresis,"Brain Injury, Chronic",3,3.863207351
Paresis,"Hematoma, Subdural, Chronic",6,7.726414703
Paresis,"Kidney Failure, Chronic",2,2.575471568
Paraparesis,"Leukemia, Lymphocytic, Chronic, B-Cell",1,2.235886073
Paraparesis,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,4.471772145
Paraparesis,"Kidney Failure, Chronic",1,2.235886073
"Paraparesis, Spastic","Pancreatitis, Chronic",1,3.17120368
"Paraparesis, Spastic","Multiple Sclerosis, Chronic Progressive",2,6.342407359
Psychophysiologic Disorders,"Fatigue Syndrome, Chronic",51,75.60778734
Psychophysiologic Disorders,"Pulmonary Disease, Chronic Obstructive",1,1.482505634
Psychophysiologic Disorders,"Brain Damage, Chronic",18,26.68510141
Psychophysiologic Disorders,"Kidney Failure, Chronic",12,17.79006761
Anisocoria,"Granulomatous Disease, Chronic",1,3.350141138
"Reflex, Abnormal","Fatigue Syndrome, Chronic",1,1.407130943
"Reflex, Abnormal","Leukemia, Lymphocytic, Chronic, B-Cell",2,2.814261886
"Reflex, Abnormal","Multiple Sclerosis, Chronic Progressive",1,1.407130943
"Reflex, Abnormal","Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",4,5.628523772
"Reflex, Abnormal","Brain Damage, Chronic",28,39.3996664
"Reflex, Abnormal","Kidney Failure, Chronic",9,12.66417849
"Reflex, Babinski","Brain Damage, Chronic",1,3.527071847
Seizures,"Leukemia, Lymphocytic, Chronic, B-Cell",5,4.225834628
Seizures,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",3,2.535500777
Seizures,"Pulmonary Disease, Chronic Obstructive",3,2.535500777
Seizures,"Multiple Sclerosis, Chronic Progressive",1,0.845166926
Seizures,"Brain Damage, Chronic",92,77.75535715
Seizures,"Brain Injury, Chronic",1,0.845166926
Seizures,"Hematoma, Subdural, Chronic",6,5.071001553
Seizures,"Kidney Failure, Chronic",66,55.78101708
Seizures,"Granulomatous Disease, Chronic",2,1.690333851
Sensation Disorders,"Fatigue Syndrome, Chronic",2,0.686643809
Sensation Disorders,"Pulmonary Disease, Chronic Obstructive",1,0.343321904
Sensation Disorders,"Multiple Sclerosis, Chronic Progressive",3,1.029965713
Sensation Disorders,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",10,3.433219043
Sensation Disorders,"Brain Damage, Chronic",3,1.029965713
Sensation Disorders,"Brain Injury, Chronic",1,0.343321904
Sensation Disorders,"Kidney Failure, Chronic",5,1.716609521
Dizziness,"Fatigue Syndrome, Chronic",13,17.45212849
Dizziness,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,2.684942845
Dizziness,"Brain Damage, Chronic",3,4.027414267
Dizziness,"Brain Injury, Chronic",1,1.342471422
Dizziness,"Kidney Failure, Chronic",5,6.712357112
Dizziness,"Granulomatous Disease, Chronic",1,1.342471422
Hearing Disorders,"Multiple Sclerosis, Chronic Progressive",1,0.735016575
Hearing Disorders,"Brain Damage, Chronic",11,8.085182325
Hearing Disorders,"Brain Injury, Chronic",1,0.735016575
Hearing Disorders,"Kidney Failure, Chronic",24,17.6403978
Hearing Loss,"Leukemia, Lymphocytic, Chronic, B-Cell",2,1.607101089
Hearing Loss,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,1.607101089
Hearing Loss,"Brain Damage, Chronic",5,4.017752723
Hearing Loss,"Kidney Failure, Chronic",18,14.4639098
Deafness,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.228527163
Deafness,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",1,1.228527163
Deafness,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.228527163
Deafness,"Brain Damage, Chronic",30,36.85581489
Deafness,"Kidney Failure, Chronic",26,31.94170624
"Hearing Loss, Bilateral","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",4,8.847154084
"Hearing Loss, Bilateral","Kidney Failure, Chronic",7,15.48251965
"Hearing Loss, Bilateral","Granulomatous Disease, Chronic",1,2.211788521
"Hearing Loss, Conductive","Brain Damage, Chronic",3,6.802260651
"Hearing Loss, Conductive","Kidney Failure, Chronic",2,4.534840434
"Hearing Loss, Functional","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,4.25300885
"Hearing Loss, Functional","Kidney Failure, Chronic",1,4.25300885
"Hearing Loss, High-Frequency","Brain Damage, Chronic",1,3.105606397
"Hearing Loss, High-Frequency","Kidney Failure, Chronic",6,18.63363838
"Hearing Loss, Sensorineural",Erythema Chronicum Migrans,1,1.21485586
"Hearing Loss, Sensorineural","Leukemia, Lymphocytic, Chronic, B-Cell",2,2.429711721
"Hearing Loss, Sensorineural","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",4,4.859423442
"Hearing Loss, Sensorineural","Pancreatitis, Chronic",1,1.21485586
"Hearing Loss, Sensorineural","Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,2.429711721
"Hearing Loss, Sensorineural","Brain Damage, Chronic",16,19.43769377
"Hearing Loss, Sensorineural","Renal Insufficiency, Chronic",1,1.21485586
"Hearing Loss, Sensorineural","Kidney Failure, Chronic",20,24.29711721
"Hearing Loss, Central","Brain Damage, Chronic",6,19.52161927
Presbycusis,"Brain Damage, Chronic",1,3.693393062
Presbycusis,"Kidney Failure, Chronic",1,3.693393062
"Hearing Loss, Sudden","Leukemia, Lymphocytic, Chronic, B-Cell",1,2.585302029
"Hearing Loss, Sudden","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",4,10.34120812
"Hearing Loss, Sudden","Brain Damage, Chronic",1,2.585302029
"Hearing Loss, Sudden","Hematoma, Subdural, Chronic",1,2.585302029
"Hearing Loss, Sudden","Kidney Failure, Chronic",1,2.585302029
"Hearing Loss, Unilateral","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,3.585179477
Tinnitus,Erythema Chronicum Migrans,1,1.974033623
Tinnitus,"Fatigue Syndrome, Chronic",1,1.974033623
Tinnitus,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,3.948067245
Tinnitus,"Brain Damage, Chronic",2,3.948067245
Tinnitus,"Granulomatous Disease, Chronic",1,1.974033623
Olfaction Disorders,"Fatigue Syndrome, Chronic",1,2.288230217
Olfaction Disorders,"Pulmonary Disease, Chronic Obstructive",1,2.288230217
Olfaction Disorders,"Brain Damage, Chronic",3,6.86469065
Olfaction Disorders,"Kidney Failure, Chronic",2,4.576460433
Somatosensory Disorders,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,2.09106214
Somatosensory Disorders,"Brain Damage, Chronic",1,1.04553107
Hyperalgesia,"Fatigue Syndrome, Chronic",5,11.97055039
Hyperalgesia,"Pancreatitis, Chronic",7,16.75877054
Hyperalgesia,"Kidney Failure, Chronic",1,2.394110078
Hyperesthesia,"Kidney Failure, Chronic",4,10.77945693
Hyperesthesia,"Leukemia, Neutrophilic, Chronic",1,2.694864232
Hypesthesia,Erythema Chronicum Migrans,1,1.721961044
Hypesthesia,"Leukemia, Lymphocytic, Chronic, B-Cell",2,3.443922088
Hypesthesia,"Pancreatitis, Chronic",1,1.721961044
Hypesthesia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",3,5.165883132
Hypesthesia,"Brain Damage, Chronic",4,6.887844176
Hypesthesia,"Brain Injury, Chronic",1,1.721961044
Hypesthesia,"Kidney Failure, Chronic",4,6.887844176
Paresthesia,"Fatigue Syndrome, Chronic",1,1.358018146
Paresthesia,"Leukemia, Lymphocytic, Chronic, B-Cell",2,2.716036292
Paresthesia,"Multiple Sclerosis, Chronic Progressive",2,2.716036292
Paresthesia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",7,9.506127023
Paresthesia,"Kidney Failure, Chronic",10,13.58018146
Taste Disorders,"Brain Damage, Chronic",2,4.752183145
Taste Disorders,"Kidney Failure, Chronic",9,21.38482415
Ageusia,"Kidney Failure, Chronic",1,3.585179477
Dysgeusia,"Kidney Failure, Chronic",2,6.944312178
Vision Disorders,"Fatigue Syndrome, Chronic",3,1.990468296
Vision Disorders,"Leukemia, Lymphocytic, Chronic, B-Cell",7,4.644426023
Vision Disorders,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",9,5.971404887
Vision Disorders,"Pulmonary Disease, Chronic Obstructive",1,0.663489432
Vision Disorders,"Brain Damage, Chronic",42,27.86655614
Vision Disorders,"Brain Injury, Chronic",1,0.663489432
Vision Disorders,"Hematoma, Subdural, Chronic",1,0.663489432
Vision Disorders,"Kidney Failure, Chronic",17,11.27932034
Blindness,"Leukemia, Lymphocytic, Chronic, B-Cell",4,4.39255342
Blindness,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",9,9.883245195
Blindness,"Pulmonary Disease, Chronic Obstructive",1,1.098138355
Blindness,"Brain Damage, Chronic",24,26.35532052
Blindness,"Kidney Failure, Chronic",30,32.94415065
"Blindness, Cortical","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,5.889352061
"Blindness, Cortical","Brain Damage, Chronic",1,2.94467603
Color Vision Defects,"Brain Damage, Chronic",4,10.26643959
Color Vision Defects,"Kidney Failure, Chronic",1,2.566609896
Diplopia,"Leukemia, Lymphocytic, Chronic, B-Cell",3,4.932495897
Diplopia,"Multiple Sclerosis, Chronic Progressive",1,1.644165299
Diplopia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,3.288330598
Diplopia,"Brain Damage, Chronic",1,1.644165299
Diplopia,"Hematoma, Subdural, Chronic",3,4.932495897
Diplopia,"Kidney Failure, Chronic",1,1.644165299
Hemianopsia,"Leukemia, Lymphocytic, Chronic, B-Cell",1,2.082052199
Hemianopsia,"Multiple Sclerosis, Chronic Progressive",1,2.082052199
Hemianopsia,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,2.082052199
Hemianopsia,"Brain Damage, Chronic",49,102.0205578
Hemianopsia,"Hematoma, Subdural, Chronic",1,2.082052199
Hemianopsia,"Kidney Failure, Chronic",2,4.164104399
Photophobia,"Kidney Failure, Chronic",1,2.854291969
Scotoma,"Brain Damage, Chronic",4,9.524826692
"Vision, Low","Leukemia, Lymphocytic, Chronic, B-Cell",2,4.51208706
"Vision, Low","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,4.51208706
"Vision, Low","Multiple Sclerosis, Chronic Progressive",2,4.51208706
"Vision, Low","Brain Injury, Chronic",1,2.25604353
Sleep Disorders,"Fatigue Syndrome, Chronic",64,95.55193023
Sleep Disorders,"Leukemia, Lymphocytic, Chronic, B-Cell",2,2.98599782
Sleep Disorders,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.49299891
Sleep Disorders,"Pulmonary Disease, Chronic Obstructive",24,35.83197384
Sleep Disorders,"Multiple Sclerosis, Chronic Progressive",1,1.49299891
Sleep Disorders,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.49299891
Sleep Disorders,"Brain Damage, Chronic",9,13.43699019
Sleep Disorders,"Brain Injury, Chronic",2,2.98599782
Sleep Disorders,"Renal Insufficiency, Chronic",4,5.971995639
Sleep Disorders,"Kidney Failure, Chronic",74,110.4819193
Sleep Deprivation,"Fatigue Syndrome, Chronic",2,5.151824578
Sleep Deprivation,"Renal Insufficiency, Chronic",1,2.575912289
Sleep Deprivation,"Kidney Failure, Chronic",4,10.30364916
"Urinary Bladder, Neurogenic","Renal Insufficiency, Chronic",1,2.078257128
"Urinary Bladder, Neurogenic","Kidney Failure, Chronic",22,45.72165683
Vertigo,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2,3.192503886
Vertigo,"Brain Damage, Chronic",2,3.192503886
Vertigo,"Brain Injury, Chronic",1,1.596251943
Vertigo,"Kidney Failure, Chronic",1,1.596251943
Voice Disorders,"Fatigue Syndrome, Chronic",1,1.665244815
Voice Disorders,"Multiple Sclerosis, Chronic Progressive",1,1.665244815
Voice Disorders,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.665244815
Voice Disorders,"Brain Damage, Chronic",4,6.660979259
Voice Disorders,"Kidney Failure, Chronic",2,3.330489629
Oral Manifestations,"Brain Damage, Chronic",1,1.865776283
Oral Manifestations,"Kidney Failure, Chronic",2,3.731552566
Oral Hemorrhage,"Pulmonary Disease, Chronic Obstructive",1,2.575912289
Oral Hemorrhage,"Kidney Failure, Chronic",2,5.151824578
Abdominal Pain,Erythema Chronicum Migrans,1,0.848483678
Abdominal Pain,"Fatigue Syndrome, Chronic",1,0.848483678
Abdominal Pain,"Leukemia, Lymphocytic, Chronic, B-Cell",4,3.393934713
Abdominal Pain,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,1.696967356
Abdominal Pain,"Leukemia, Myelomonocytic, Chronic",1,0.848483678
Abdominal Pain,"Pancreatitis, Chronic",66,55.99992276
Abdominal Pain,"Bronchitis, Chronic",1,0.848483678
Abdominal Pain,"Brain Damage, Chronic",1,0.848483678
Abdominal Pain,"Kidney Failure, Chronic",23,19.5151246
Abdominal Pain,"Granulomatous Disease, Chronic",2,1.696967356
"Abdomen, Acute","Leukemia, Lymphocytic, Chronic, B-Cell",2,2.875200261
"Abdomen, Acute","Leukemia, Myelomonocytic, Chronic",1,1.43760013
"Abdomen, Acute","Brain Damage, Chronic",1,1.43760013
"Abdomen, Acute","Kidney Failure, Chronic",14,20.12640183
"Abdomen, Acute","Granulomatous Disease, Chronic",1,1.43760013
Colic,"Kidney Failure, Chronic",2,4.269494633
Colic,"Granulomatous Disease, Chronic",1,2.134747316
Arthralgia,"Fatigue Syndrome, Chronic",7,10.3411
Arthralgia,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.4773
Arthralgia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.4773
Arthralgia,"Multiple Sclerosis, Chronic Progressive",1,1.4773
Arthralgia,"Kidney Failure, Chronic",7,10.3411
Shoulder Pain,"Leukemia, Lymphocytic, Chronic, B-Cell",2,4.840854772
Shoulder Pain,"Pulmonary Disease, Chronic Obstructive",1,2.420427386
Shoulder Pain,"Kidney Failure, Chronic",1,2.420427386
Shoulder Pain,"Granulomatous Disease, Chronic",1,2.420427386
Chest Pain,"Fatigue Syndrome, Chronic",1,1.09956083
Chest Pain,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,2.199121661
Chest Pain,"Pancreatitis, Chronic",1,1.09956083
Chest Pain,"Pulmonary Disease, Chronic Obstructive",3,3.298682491
Chest Pain,"Kidney Failure, Chronic",14,15.39385162
Chest Pain,"Granulomatous Disease, Chronic",1,1.09956083
Angina Pectoris,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.452683373
Angina Pectoris,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.452683373
Angina Pectoris,"Pulmonary Disease, Chronic Obstructive",5,7.263416863
Angina Pectoris,"Renal Insufficiency, Chronic",1,1.452683373
Angina Pectoris,"Kidney Failure, Chronic",42,61.01270165
Acute Coronary Syndrome,"Pulmonary Disease, Chronic Obstructive",2,5.195920852
Acute Coronary Syndrome,"Renal Insufficiency, Chronic",6,15.58776256
Acute Coronary Syndrome,"Kidney Failure, Chronic",18,46.76328767
"Angina, Unstable","Leukemia, Lymphocytic, Chronic, B-Cell",1,2.24256018
"Angina, Unstable","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,2.24256018
"Angina, Unstable","Pulmonary Disease, Chronic Obstructive",2,4.485120359
"Angina, Unstable","Kidney Failure, Chronic",15,33.6384027
"Angina Pectoris, Variant","Pulmonary Disease, Chronic Obstructive",1,3.265949047
Earache,"Kidney Failure, Chronic",1,2.817924325
Flank Pain,"Kidney Failure, Chronic",1,3.148856381
"Pain, Postoperative","Leukemia, Lymphocytic, Chronic, B-Cell",1,1.677855322
"Pain, Postoperative","Pulmonary Disease, Chronic Obstructive",2,3.355710645
"Pain, Postoperative","Kidney Failure, Chronic",7,11.74498726
Dysmenorrhea,"Fatigue Syndrome, Chronic",2,5.520209507
Dysmenorrhea,"Kidney Failure, Chronic",1,2.760104754
Anorexia,"Fatigue Syndrome, Chronic",1,1.825260614
Anorexia,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1.825260614
Anorexia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1.825260614
Anorexia,"Pulmonary Disease, Chronic Obstructive",7,12.7768243
Anorexia,"Kidney Failure, Chronic",38,69.35990333
Constipation,"Pulmonary Disease, Chronic Obstructive",1,1.593915494
Constipation,"Brain Damage, Chronic",4,6.375661974
Constipation,"Kidney Failure, Chronic",13,20.72090142
Constipation,"Granulomatous Disease, Chronic",2,3.187830987
Diarrhea,"Leukemia, Lymphocytic, Chronic, B-Cell",6,5.539128786
Diarrhea,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",10,9.231881311
Diarrhea,"Leukemia, Myeloid, Chronic-Phase",2,1.846376262
Diarrhea,"Leukemia, Myelomonocytic, Chronic",2,1.846376262
Diarrhea,"Pancreatitis, Chronic",5,4.615940655
Diarrhea,"Bronchitis, Chronic",1,0.923188131
Diarrhea,"Pulmonary Disease, Chronic Obstructive",1,0.923188131
Diarrhea,"Kidney Failure, Chronic",30,27.69564393
Diarrhea,"Granulomatous Disease, Chronic",2,1.846376262
"Diarrhea, Infantile","Brain Damage, Chronic",1,2.281245322
Dyspepsia,"Fatigue Syndrome, Chronic",1,2.082052199
Dyspepsia,"Pancreatitis, Chronic",1,2.082052199
Dyspepsia,"Pulmonary Disease, Chronic Obstructive",1,2.082052199
Dyspepsia,"Kidney Failure, Chronic",17,35.39488739
Flatulence,"Pancreatitis, Chronic",1,3.137867259
Gagging,"Kidney Failure, Chronic",1,3.732232895
Heartburn,"Pulmonary Disease, Chronic Obstructive",1,3.176869417
Hiccup,"Kidney Failure, Chronic",4,11.81490346
Hyperphagia,"Brain Damage, Chronic",3,7.197955269
Hyperphagia,"Kidney Failure, Chronic",1,2.399318423
Bulimia,"Fatigue Syndrome, Chronic",1,2.763857103
Bulimia,"Brain Damage, Chronic",2,5.527714207
Bulimia,"Kidney Failure, Chronic",6,16.58314262
Nausea,Erythema Chronicum Migrans,2,2.277506148
Nausea,"Fatigue Syndrome, Chronic",1,1.138753074
Nausea,"Leukemia, Lymphocytic, Chronic, B-Cell",3,3.416259222
Nausea,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",9,10.24877767
Nausea,"Leukemia, Myeloid, Chronic-Phase",2,2.277506148
Nausea,"Bronchitis, Chronic",2,2.277506148
Nausea,"Pulmonary Disease, Chronic Obstructive",1,1.138753074
Nausea,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",1,1.138753074
Nausea,"Brain Damage, Chronic",2,2.277506148
Nausea,"Hematoma, Subdural, Chronic",1,1.138753074
Nausea,"Kidney Failure, Chronic",28,31.88508608
Nausea,"Granulomatous Disease, Chronic",1,1.138753074
Postoperative Nausea and Vomiting,"Kidney Failure, Chronic",1,3.420099727
Vomiting,"Leukemia, Lymphocytic, Chronic, B-Cell",2,1.687025331
Vomiting,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",6,5.061075993
Vomiting,"Pulmonary Disease, Chronic Obstructive",1,0.843512665
Vomiting,"Brain Damage, Chronic",2,1.687025331
Vomiting,"Hematoma, Subdural, Chronic",1,0.843512665
Vomiting,"Renal Insufficiency, Chronic",1,0.843512665
Vomiting,"Kidney Failure, Chronic",37,31.20996862
Vomiting,"Granulomatous Disease, Chronic",3,2.530537996
Hematemesis,"Leukemia, Lymphocytic, Chronic, B-Cell",1,2.085861728
Hematemesis,"Pulmonary Disease, Chronic Obstructive",1,2.085861728
Hematemesis,"Kidney Failure, Chronic",1,2.085861728
Anoxia,"Fatigue Syndrome, Chronic",1,1.001988572
Anoxia,"Leukemia, Lymphocytic, Chronic, B-Cell",4,4.007954287
Anoxia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",10,10.01988572
Anoxia,"Bronchitis, Chronic",2,2.003977143
Anoxia,"Pulmonary Disease, Chronic Obstructive",231,231.4593601
Anoxia,"Brain Damage, Chronic",64,64.12726859
Anoxia,"Renal Insufficiency, Chronic",1,1.001988572
Anoxia,"Kidney Failure, Chronic",82,82.16306288
Anoxia,"Granulomatous Disease, Chronic",2,2.003977143
Fetal Hypoxia,"Brain Damage, Chronic",54,147.6481665
Fetal Hypoxia,"Kidney Failure, Chronic",1,2.734225306
Apnea,"Fatigue Syndrome, Chronic",1,1.876553908
Apnea,"Pulmonary Disease, Chronic Obstructive",1,1.876553908
Apnea,"Brain Damage, Chronic",7,13.13587736
Apnea,"Kidney Failure, Chronic",5,9.382769542
Cheyne-Stokes Respiration,"Pulmonary Disease, Chronic Obstructive",1,3.637823211
Cough,"Leukemia, Lymphocytic, Chronic, B-Cell",4,5.258916604
Cough,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2,2.629458302
Cough,"Leukemia, Myeloid, Chronic-Phase",1,1.314729151
Cough,"Pancreatitis, Chronic",2,2.629458302
Cough,"Bronchitis, Chronic",21,27.60931217
Cough,"Pulmonary Disease, Chronic Obstructive",90,118.3256236
Cough,"Kidney Failure, Chronic",6,7.888374907
Cough,"Granulomatous Disease, Chronic",2,2.629458302
Dyspnea,"Fatigue Syndrome, Chronic",2,2.010443363
Dyspnea,"Leukemia, Lymphocytic, Chronic, B-Cell",10,10.05221682
Dyspnea,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",6,6.031330089
Dyspnea,"Leukemia, Myeloid, Chronic-Phase",1,1.005221682
Dyspnea,"Leukemia, Myelomonocytic, Chronic",2,2.010443363
Dyspnea,"Pancreatitis, Chronic",3,3.015665045
Dyspnea,"Bronchitis, Chronic",5,5.026108408
Dyspnea,"Pulmonary Disease, Chronic Obstructive",618,621.2269992
Dyspnea,"Kidney Failure, Chronic",23,23.12009868
Dyspnea,"Granulomatous Disease, Chronic",1,1.005221682
